Codigo,Nombre Producto,Stock,Categoria,Precio
93401363,Mrs Kind                                ,250,Imagine                  ,795.67
64395729,Candidate Hospital                      ,685,Send                     ,970.62
80161883,Their Last                              ,815,Side                     ,709.93
14152968,Under Guy                               ,607,Difference               ,303.15
70949018,Energy Include                          ,822,Present                  ,757.73
16922481,Including Need                          ,267,Third                    ,416.81
73178535,Congress Maybe                          ,320,Author                   ,811.01
63941959,Run Fire                                ,422,Sense                    ,226.12
55714117,Treat Same                              ,779,Beat                     ,741.93
42188632,Kind Ability                            ,795,Or                       ,975.97
24766010,Six Win                                 ,301,General                  ,286.65
29457633,Training Fine                           ,436,Art                      ,91.87
30582860,Crime He                                ,922,Property                 ,766.29
67957405,More Respond                            ,143,Relationship             ,209.82
61145962,Cup Teach                               ,620,Hair                     ,651.72
98311065,Reflect Popular                         ,381,True                     ,324.18
46712987,Knowledge Music                         ,516,Sing                     ,545.96
20251971,Thus Allow                              ,603,Make                     ,407.39
20635331,South Painting                          ,695,Your                     ,707.57
21795215,Structure Speak                         ,524,Rather                   ,652.84
67525282,Bit Eat                                 ,116,Maintain                 ,797.77
16263044,Seem Wall                               ,759,Cause                    ,955.61
44343073,Collection Space                        ,69,Herself                  ,603.37
65374429,Word Director                           ,934,Type                     ,232.52
37695445,Federal Role                            ,40,Then                     ,421.51
91549082,Four Responsibility                     ,738,Among                    ,297.54
20175722,Find Maintain                           ,315,Attention                ,994.18
65809815,General Take                            ,960,Laugh                    ,939.17
15989697,A Happen                                ,818,Door                     ,303.72
72819966,Door Thought                            ,595,Question                 ,219.52
22051431,Guy Of                                  ,116,Grow                     ,674.54
67064977,Radio Left                              ,961,Least                    ,360.45
48938012,Herself Across                          ,355,Usually                  ,742.26
63020375,Describe Music                          ,893,Left                     ,160.56
61610808,Single Follow                           ,242,Chance                   ,787.71
70041755,Surface In                              ,783,Will                     ,234.62
24816041,Tell Study                              ,932,Player                   ,486.92
47285243,Her Lead                                ,793,Form                     ,182.81
96618696,Upon Young                              ,310,Rich                     ,193.44
92712939,Dream Alone                             ,17,West                     ,730.02
41996724,Decision Be                             ,464,Might                    ,978.95
30913265,Range Technology                        ,104,Per                      ,964.66
85679671,In Task                                 ,392,Society                  ,501.56
45728797,Single Attorney                         ,114,Movement                 ,802.86
42050181,Agency Student                          ,977,Experience               ,629.72
58226383,Ready Student                           ,678,Type                     ,423.19
22788941,Raise Article                           ,757,Congress                 ,695.48
54505864,Benefit Cut                             ,596,Offer                    ,601.81
43282160,Nor Experience                          ,851,Film                     ,412.22
87735401,Artist Individual                       ,422,Though                   ,359.8
62023029,Newspaper According                     ,882,Hard                     ,799.05
29767990,Experience Trouble                      ,149,Politics                 ,127.35
77058283,Reason Likely                           ,838,By                       ,365.31
46062006,Back Nearly                             ,118,Animal                   ,907.38
40000358,Agreement And                           ,134,Edge                     ,148.0
13504071,Available East                          ,18,Way                      ,956.68
77888656,Especially Knowledge                    ,12,Plan                     ,683.47
27022663,Yourself Strong                         ,99,Audience                 ,935.62
36080739,Wish Fire                               ,783,Better                   ,657.55
79628484,Reach Pm                                ,425,Market                   ,458.95
53074702,Here Determine                          ,17,Design                   ,589.81
42228385,Him Art                                 ,23,Year                     ,817.91
28132775,Catch Medical                           ,619,Professional             ,164.79
75900554,Girl Must                               ,755,Very                     ,193.6
67307771,Never Perform                           ,669,Me                       ,84.8
69242190,Real Manager                            ,630,Report                   ,168.9
94469762,Minute Either                           ,502,Reality                  ,910.65
73445295,Protect Study                           ,755,Sort                     ,762.91
95955140,Choose Understand                       ,778,House                    ,155.25
52693288,Establish Five                          ,942,Stock                    ,232.14
34730365,Thus General                            ,957,Necessary                ,942.61
65972423,Stuff Staff                             ,687,Finish                   ,173.85
38403299,Per Best                                ,507,World                    ,421.32
83370436,Seem Sport                              ,676,Long                     ,179.21
66831985,Method Beyond                           ,761,Hot                      ,599.13
41463189,Politics Go                             ,333,Customer                 ,545.35
74458794,Reach Likely                            ,314,Politics                 ,393.16
15128566,Talk Nearly                             ,956,Morning                  ,271.12
31346526,To Can                                  ,331,Which                    ,943.41
32755117,Mother Anyone                           ,6,Base                     ,476.73
37069669,Civil Girl                              ,125,Term                     ,131.89
94905318,Policy Probably                         ,495,Here                     ,744.01
63099723,Television Television                   ,904,Process                  ,575.52
30497564,Fast Exactly                            ,587,To                       ,676.28
57724236,Treatment Ready                         ,13,Admit                    ,176.16
82286251,Set Scene                               ,295,Pick                     ,864.09
62076516,Summer Trip                             ,796,Maintain                 ,601.72
79947755,By History                              ,803,Suddenly                 ,337.5
32469028,Yes Analysis                            ,382,Lawyer                   ,994.33
96923697,When Rich                               ,939,Purpose                  ,381.41
28054887,Memory Until                            ,587,Network                  ,390.43
16461737,Table To                                ,234,Girl                     ,159.05
70910936,Right Responsibility                    ,826,Similar                  ,825.06
38441596,Mean See                                ,1,Stage                    ,627.92
29176466,Difficult Food                          ,451,Phone                    ,382.07
19485782,Trip Leave                              ,782,Girl                     ,654.19
53156590,Question Soon                           ,976,White                    ,108.86
35051128,Human Job                               ,531,Plan                     ,637.96
15885915,Air Career                              ,13,Process                  ,400.74
34728410,Help Focus                              ,178,Believe                  ,933.7
64867897,Late Chance                             ,398,However                  ,976.95
58105101,People Determine                        ,152,State                    ,984.91
74914625,Prove Day                               ,550,Tell                     ,712.95
36965018,Black Represent                         ,406,Data                     ,553.38
96517191,Across Here                             ,529,A                        ,397.85
82368782,Few Several                             ,450,Performance              ,810.37
44971484,Offer There                             ,429,Stay                     ,953.57
85841897,Whether Main                            ,862,Call                     ,300.59
83168948,Economy Down                            ,543,Project                  ,752.44
22715991,Available Often                         ,698,Natural                  ,806.55
38549999,Mrs Moment                              ,997,Them                     ,176.16
59239356,Office Lose                             ,789,Attention                ,773.31
70425484,Strategy Century                        ,775,Positive                 ,590.37
51528613,More Feeling                            ,31,Team                     ,81.2
29422127,Week Feel                               ,579,Town                     ,684.52
72240456,Ten Than                                ,815,Play                     ,229.42
86146618,Around Let                              ,663,Bed                      ,683.69
78023861,Building Tv                             ,135,Significant              ,44.06
89218547,Skill Let                               ,500,Grow                     ,890.31
11361267,Avoid Player                            ,900,Job                      ,190.94
84300839,Red Game                                ,415,Bar                      ,328.56
49258057,Technology Some                         ,96,Seek                     ,919.23
40893862,Customer Whole                          ,150,Certainly                ,227.67
60258710,Fast Bad                                ,443,Central                  ,978.13
14054227,Evidence Support                        ,785,Organization             ,456.1
73072459,Marriage Gun                            ,153,Politics                 ,481.72
43699732,Mean Floor                              ,238,But                      ,289.66
50153586,Meeting Cup                             ,180,Guess                    ,918.73
46743076,Place Under                             ,389,Take                     ,397.98
63933402,Prevent Purpose                         ,727,Discuss                  ,146.44
31000895,Speech Skin                             ,233,Where                    ,873.65
59947424,Experience Share                        ,267,Weight                   ,397.47
23771538,Us Agency                               ,150,Million                  ,571.34
60892400,Middle According                        ,154,East                     ,513.37
19160000,Body Plan                               ,546,Result                   ,41.84
48052057,Pass Practice                           ,640,Best                     ,85.79
45082327,Including Least                         ,546,Response                 ,357.74
85776016,Relate Sea                              ,861,Stock                    ,64.44
15617885,Several Husband                         ,983,Worry                    ,664.57
35389215,House Main                              ,579,Center                   ,748.68
67713427,Shoulder Parent                         ,578,Already                  ,230.14
85134484,Investment Least                        ,577,Open                     ,115.02
43914222,Order Answer                            ,181,Song                     ,158.8
85243532,Point Short                             ,944,Sport                    ,909.8
93696087,Reflect Other                           ,985,Population               ,563.03
75322202,Cultural Arm                            ,958,Size                     ,459.76
95501962,Newspaper Me                            ,791,Current                  ,749.94
61702428,Foreign Animal                          ,832,Down                     ,419.11
67941637,Senior Growth                           ,601,Eat                      ,960.1
21775714,Personal Care                           ,229,President                ,635.3
10591399,Training Old                            ,655,Open                     ,13.75
24782932,Republican Mean                         ,759,Street                   ,393.23
62543613,Especially Prepare                      ,543,Choice                   ,772.01
58664023,Nature Kid                              ,729,Long                     ,219.25
59508125,Table Operation                         ,504,All                      ,785.59
92522118,Teacher Feeling                         ,611,War                      ,722.01
80632097,Add Present                             ,42,Fear                     ,963.65
87924400,Draw Its                                ,54,Alone                    ,564.54
19176972,American Two                            ,83,Sometimes                ,49.77
53043823,Month Many                              ,19,Billion                  ,398.05
21070937,Send My                                 ,650,Operation                ,911.71
15039162,Series Administration                   ,698,Fund                     ,150.35
61584014,Since Arrive                            ,983,Him                      ,308.04
89302077,Including Significant                   ,771,Third                    ,986.37
64344721,Bed Tax                                 ,181,Administration           ,734.29
29082915,Thought Really                          ,573,Travel                   ,273.13
32654711,Degree Church                           ,502,Dream                    ,421.3
19857267,Describe Degree                         ,385,Mean                     ,545.32
88112375,Investment Staff                        ,100,Program                  ,300.06
51488449,Sport Art                               ,145,Claim                    ,641.39
55388202,Fill Phone                              ,748,Beyond                   ,13.98
24311303,Affect Under                            ,566,Alone                    ,757.36
57239922,Conference Police                       ,72,Recently                 ,990.21
41309099,Our Nor                                 ,594,Our                      ,648.75
43993969,Effort Bad                              ,684,Model                    ,133.59
85134512,Term Tend                               ,609,Approach                 ,420.17
97713544,Water Government                        ,588,Role                     ,804.57
22356760,Town Prevent                            ,846,Career                   ,925.38
20260927,Weight Rate                             ,338,Rock                     ,810.0
45066494,Drop Meeting                            ,25,Order                    ,981.72
47488689,Significant Bar                         ,422,Start                    ,291.6
50782850,Skill Model                             ,663,Sign                     ,814.67
35579242,But World                               ,905,Subject                  ,12.65
21953002,Generation Party                        ,429,I                        ,512.51
47104504,Who Me                                  ,170,Couple                   ,749.51
58433516,As Third                                ,606,Indicate                 ,378.41
84756895,Forward Look                            ,97,Blood                    ,799.0
96990606,Responsibility Yet                      ,482,Mr                       ,501.31
75501246,Happen Military                         ,415,Such                     ,679.18
97028810,Foot Affect                             ,67,Color                    ,69.9
83324457,Late International                      ,107,Newspaper                ,905.62
80467295,Pass Serve                              ,720,House                    ,91.2
13735251,Affect Morning                          ,815,Tonight                  ,926.19
22432799,Material Once                           ,381,City                     ,989.96
18377470,Factor Wish                             ,289,However                  ,779.24
36205724,Sport First                             ,138,Suggest                  ,285.88
38218780,Ask Upon                                ,772,Time                     ,803.11
43702932,Race Across                             ,788,Change                   ,354.49
88056465,Thus Travel                             ,669,Man                      ,267.22
12451588,Improve Be                              ,358,Close                    ,573.19
59906415,Deep Energy                             ,873,Stand                    ,29.55
61857767,North Student                           ,136,Perform                  ,722.94
27055491,Inside Hair                             ,64,National                 ,101.66
62346494,Star Face                               ,552,Herself                  ,26.34
19175150,Cause Provide                           ,917,Whole                    ,110.67
10369101,International Price                     ,354,Goal                     ,998.37
21501282,Paper Four                              ,954,Home                     ,504.06
97514273,Every Need                              ,692,Man                      ,761.23
55069632,Material Impact                         ,102,Successful               ,281.49
44464249,Film Water                              ,696,Feeling                  ,834.94
38879644,Least Trial                             ,695,Your                     ,812.7
27472189,Least Add                               ,494,Drop                     ,662.73
63579163,Fish Investment                         ,885,Lay                      ,485.76
91753933,Music Contain                           ,142,Rise                     ,534.62
23607187,Throughout Mother                       ,128,Past                     ,883.32
80174904,Community Ground                        ,239,Care                     ,563.36
70762962,Adult Foreign                           ,770,Service                  ,494.77
73250535,Should Long                             ,894,Keep                     ,128.85
50146351,Cut Mention                             ,527,Agency                   ,532.57
11854336,Though Though                           ,275,Bag                      ,254.99
65178831,Dinner Final                            ,921,West                     ,231.5
83572283,Early Study                             ,685,Range                    ,495.36
12912940,Film Star                               ,759,Along                    ,620.93
36469484,They Likely                             ,107,Ground                   ,948.75
36743670,Law There                               ,765,South                    ,837.85
87554245,Write Economy                           ,3,War                      ,609.49
28450074,Deep Child                              ,226,Operation                ,375.59
16511969,Arm Cut                                 ,200,Green                    ,218.52
29956031,Teacher Item                            ,558,Hand                     ,158.41
77252169,Agreement Better                        ,77,Whom                     ,536.79
59960396,Likely Pm                               ,318,Thank                    ,405.61
51482459,Color Begin                             ,606,Pull                     ,596.6
26986456,Spring But                              ,514,Some                     ,905.35
58362439,Process Red                             ,188,Message                  ,54.8
10088105,White Someone                           ,657,Food                     ,290.37
37619082,Establish Media                         ,426,Explain                  ,955.25
62009568,Third New                               ,237,Company                  ,960.43
32060152,Former Result                           ,39,Sea                      ,81.81
34784857,Image Big                               ,9,Explain                  ,965.99
46523805,Ready Grow                              ,28,When                     ,506.19
98131283,Seek Size                               ,468,Law                      ,291.44
99196370,Almost Four                             ,766,New                      ,648.38
25235359,Put Between                             ,567,Purpose                  ,698.05
18365794,Politics Sea                            ,936,Wait                     ,318.51
52999975,Actually Teach                          ,937,Laugh                    ,442.23
70113007,Position Become                         ,363,Scientist                ,298.94
63854454,Somebody Lot                            ,781,Resource                 ,376.9
61714975,Federal Order                           ,44,Reach                    ,908.68
19358162,He Accept                               ,299,Oil                      ,163.76
52529783,Series Certain                          ,182,Improve                  ,235.19
35991051,So Song                                 ,519,Production               ,912.29
37549977,Away Meet                               ,809,So                       ,272.57
51128105,Staff Cause                             ,865,Do                       ,106.39
68512451,Enjoy Never                             ,847,World                    ,659.46
24720405,Expert Morning                          ,245,Fall                     ,377.89
25359129,Glass Leave                             ,565,Friend                   ,692.59
71189022,Exist Spring                            ,782,Itself                   ,539.36
52699050,Five About                              ,425,Artist                   ,796.5
92122393,Any Position                            ,813,Room                     ,599.3
76860928,Head Through                            ,970,Under                    ,713.22
91413901,Need She                                ,4,Between                  ,39.17
72937807,Member Size                             ,998,Here                     ,140.96
17576048,Admit Run                               ,76,Member                   ,654.63
22143830,Million Example                         ,609,Market                   ,32.72
87779882,Care Very                               ,551,Return                   ,734.37
21934691,Hundred Bag                             ,628,Work                     ,821.31
99281985,Economic Natural                        ,147,Choice                   ,92.01
87372373,Official Teacher                        ,89,Establish                ,241.15
65504033,Account Collection                      ,542,See                      ,497.93
87530521,Worker Brother                          ,409,Mean                     ,499.94
47515976,Any Artist                              ,385,Side                     ,782.21
29517877,Soon Wait                               ,804,Put                      ,536.05
29007927,Tax When                                ,880,City                     ,116.11
33297195,Conference Student                      ,774,Rich                     ,534.53
47945968,Various Behavior                        ,396,Or                       ,407.73
41095019,Low Series                              ,165,Most                     ,109.07
51236083,Model Everyone                          ,621,Tree                     ,914.95
66782372,Wait Democratic                         ,212,Seem                     ,201.23
72135002,Over Level                              ,62,Young                    ,277.91
19494961,Lose Nation                             ,894,Heavy                    ,740.92
64839800,Challenge Ago                           ,472,Spend                    ,94.8
48549054,Report Son                              ,116,Mind                     ,327.63
21770345,There Movement                          ,799,Same                     ,61.93
28950104,Another Degree                          ,607,Term                     ,42.69
18403437,But Agree                               ,547,Action                   ,13.51
49990425,Fine His                                ,581,Watch                    ,989.07
35901563,Alone At                                ,508,His                      ,679.34
11785597,Candidate Well                          ,664,Resource                 ,143.03
54906099,South Behind                            ,528,Everyone                 ,737.03
80999167,Share A                                 ,981,Piece                    ,815.49
41704534,Majority Both                           ,709,Tv                       ,743.95
71056341,Loss We                                 ,579,Process                  ,239.15
22064388,Republican Sit                          ,615,Modern                   ,829.76
71242652,Fact Effort                             ,469,But                      ,162.08
26877282,Capital Impact                          ,623,Season                   ,490.19
97556867,People Anything                         ,218,Building                 ,163.32
15002101,Right Suggest                           ,110,Discover                 ,616.17
90709215,Language Professional                   ,383,Try                      ,749.63
84831571,Before Even                             ,501,Community                ,227.99
50907661,Attack Room                             ,493,Nature                   ,877.74
59109503,We Beautiful                            ,674,Serious                  ,332.08
25345802,Give People                             ,289,Central                  ,671.0
67255032,Security Think                          ,878,Bed                      ,151.43
45254036,Receive Fine                            ,753,Tree                     ,474.09
70689368,Enough Visit                            ,313,Once                     ,415.54
44420570,Industry Spring                         ,983,Then                     ,472.55
63124452,Prove Affect                            ,298,It                       ,385.2
19874424,Within Game                             ,721,Age                      ,849.48
25485667,Want Maintain                           ,332,War                      ,525.55
43023547,Drug Suddenly                           ,325,Nice                     ,145.03
65342781,Feeling Trouble                         ,506,Story                    ,432.53
45194376,Pretty Clear                            ,523,Radio                    ,553.29
88499460,Box Each                                ,923,Drop                     ,126.01
63196513,Finish Only                             ,76,People                   ,673.97
83121774,Start Movement                          ,273,Try                      ,626.29
37740325,Candidate Commercial                    ,69,Guy                      ,922.33
42082187,Organization Teach                      ,999,Option                   ,869.21
62721159,Attack Argue                            ,437,Situation                ,44.54
36120504,View Along                              ,157,Central                  ,921.88
19333230,Special Some                            ,971,Value                    ,790.29
39046334,Training Beyond                         ,657,Investment               ,731.78
95908177,Although Market                         ,97,Present                  ,30.67
38538535,Believe Quite                           ,392,Eight                    ,46.49
81954810,Alone And                               ,312,Staff                    ,629.68
75784713,Science Science                         ,949,This                     ,37.83
98694134,Good Worry                              ,621,Two                      ,318.7
13120093,Soldier Himself                         ,823,Economy                  ,358.28
93698290,Think American                          ,909,Leg                      ,459.41
79610476,None Address                            ,722,End                      ,325.77
81045248,Put Pick                                ,688,Employee                 ,83.47
86473915,Kitchen Cultural                        ,412,Key                      ,391.94
36501563,Adult Suggest                           ,406,Hold                     ,818.75
28592331,Training Thank                          ,965,Present                  ,584.95
98207149,Identify Huge                           ,748,Make                     ,956.71
97573757,Mind Play                               ,270,Decade                   ,502.29
69543813,Friend Natural                          ,608,Fire                     ,31.38
57290192,Join Then                               ,286,Miss                     ,992.96
24302033,Old Star                                ,71,Media                    ,287.61
38347957,High Require                            ,438,Its                      ,794.88
98999496,Often Water                             ,880,Court                    ,699.43
12052938,Value Claim                             ,177,Conference               ,135.55
27311851,Rest Light                              ,679,Central                  ,274.64
14934233,Doctor We                               ,923,Same                     ,913.54
30386591,Partner Present                         ,424,Player                   ,42.25
20577217,Remain Table                            ,343,Its                      ,96.16
21664253,Case Dog                                ,159,Threat                   ,216.63
28730932,Understand Type                         ,424,Type                     ,55.75
52747914,Poor Prove                              ,934,Because                  ,127.48
27040427,Yeah Try                                ,795,Model                    ,815.02
15723628,Away Class                              ,431,Firm                     ,344.99
84844112,Statement Chair                         ,482,After                    ,501.91
97966210,Live Past                               ,44,Personal                 ,364.23
70526973,Republican Prove                        ,467,Only                     ,342.2
80044447,Summer Where                            ,206,Either                   ,290.77
12706943,Go Admit                                ,814,Wife                     ,53.35
87954573,Including Account                       ,606,One                      ,689.35
31013429,Charge Court                            ,229,Represent                ,531.76
52924952,Different Say                           ,811,People                   ,129.77
92529603,Civil Care                              ,938,Program                  ,770.17
64268552,Ready Though                            ,92,Wonder                   ,234.72
29755353,Employee Less                           ,387,Value                    ,181.07
35615090,Situation Write                         ,859,Far                      ,87.67
74240564,West Represent                          ,186,Life                     ,948.9
13829203,Help Medical                            ,855,Budget                   ,378.69
79115539,Agency Character                        ,932,Nice                     ,468.05
90643675,Billion Security                        ,946,Cold                     ,407.57
41481606,Employee Forward                        ,425,Describe                 ,428.82
23691150,Song Present                            ,970,Page                     ,133.98
40530149,Pm Pressure                             ,698,Prevent                  ,956.34
59693187,Final Same                              ,355,Body                     ,708.3
34699145,Data Environmental                      ,978,Million                  ,272.81
24555566,Say Boy                                 ,727,Art                      ,124.03
70201557,Question Bad                            ,817,Away                     ,917.31
72227345,Against Teacher                         ,758,Describe                 ,173.82
27397661,Of Not                                  ,80,Several                  ,670.84
36783010,Mean Hotel                              ,65,Peace                    ,184.98
11997269,Official Thousand                       ,315,Beyond                   ,288.57
20905579,Pull Research                           ,484,Ten                      ,725.31
26407717,Purpose Very                            ,432,Upon                     ,668.88
97156236,Analysis Key                            ,391,Individual               ,558.07
86324093,Something Free                          ,816,Environmental            ,117.25
82828295,Their Fine                              ,460,Recognize                ,565.57
85555832,Car Close                               ,176,Information              ,309.32
73436943,Unit Social                             ,674,Walk                     ,157.63
30042049,Star Start                              ,757,Risk                     ,324.75
56028626,Part Media                              ,77,Successful               ,463.43
26796944,Wear Life                               ,762,Beyond                   ,270.83
73721128,Black Later                             ,541,Fire                     ,978.77
19621528,Wrong Watch                             ,324,Side                     ,639.75
53923552,Here More                               ,77,Loss                     ,998.75
33630424,Score Almost                            ,735,Heart                    ,592.87
29828499,Person High                             ,537,Recognize                ,699.64
98868296,Trip Yourself                           ,314,News                     ,585.16
18095531,Give Today                              ,961,Table                    ,29.65
96964548,Until Throughout                        ,472,Four                     ,224.61
80071236,Level Future                            ,414,Beautiful                ,651.22
50715391,Great Nice                              ,914,Decide                   ,131.43
11197434,Run Case                                ,988,Certain                  ,325.19
20240838,Staff Build                             ,42,Fight                    ,807.06
80802036,Money Idea                              ,308,Nature                   ,730.18
12484590,So Particularly                         ,588,Huge                     ,382.42
76755721,Expert System                           ,722,Wind                     ,205.47
38542137,Candidate Owner                         ,752,Energy                   ,93.48
79820564,Discover Serious                        ,170,Century                  ,930.19
94893827,Sense Series                            ,672,Market                   ,648.16
98214843,Moment Safe                             ,351,Answer                   ,924.34
31429314,Fly Present                             ,219,Worker                   ,398.71
24731389,Draw Follow                             ,107,Note                     ,532.61
51632383,Special Indicate                        ,953,Laugh                    ,636.73
26967811,Conference Item                         ,497,Hope                     ,885.22
63517246,View Success                            ,979,On                       ,535.52
32494973,Interview Summer                        ,796,At                       ,544.55
